"","Category","Subtype","Token","MDS Dimension 1","MDS Dimension 2","MDS Dimension 3","MDS Dimension 4","MDS Dimension 5","MDS Dimension 6","MDS Dimension 7","MDS Dimension 8","Lightness of Color","Grain Size","Roughness","Shininess","Organization","Color Variation","Presence of Grain","Presence of Fragments","Presence of Stripes","Presense of Holes","Presence of Layers","Presence of Special Feature","Heterogeneity of Grain","Angular/Rounded Fragments","Curved/Straight Stripes","Munsell Value","Saturation","x'","y'"
"17","Metamorphic","Phyllite",9,-1.054,-1.226,2.467,-0.252,0.899,0.083,0.497,4.634,5.65,3.45,3.95,5,5.35,2.42,0.9,0.2,0.35,0,0.37,0,2.6,5.05,4.9,5.45,2.3,-0.07,0.21
"18","Metamorphic","Quartzite",9,1.585,0.61,-1.125,0.032,0.58,-2.507,-3.568,0.135,7.05,5.05,4.05,4.4,4.65,4.11,1,0.5,0,0,0.05,0.11,4.85,3.85,5,6.45,1,0.03,-0.01
"19","Metamorphic","Schist",2,-0.291,-0.2,2.632,0.142,-1.994,-2.081,-0.758,0.312,6.55,5.65,6.8,5.35,3.7,3.63,0.95,0.4,0.15,0.11,0.11,0.05,3.75,5,4.65,6.15,0.9,0.01,0.05
"20","Metamorphic","Slate",9,-0.415,-4.063,-1.892,-4.042,-2.484,-1.894,-0.209,-0.662,5.1,3.2,4.2,2.9,4.7,4.79,0.8,0.35,0.55,0,0.95,0,2.8,4.3,3.85,5.9,1.7,0,-0.07
"21","Sedimentary","Bituminous Coal",10,-5.188,-3.247,-0.497,1.223,0.978,-0.431,-0.823,1.12,1.1,2.2,4.6,6.8,4.7,1.68,0.7,0.1,0.15,0,0.58,0.05,2.8,5.05,4.75,2.1,0.3,0.02,0
"22","Sedimentary","Breccia",11,-0.648,4.007,-1.883,0.06,-1.786,3.395,-5.309,-2.137,5.75,8.85,5.15,3.95,3.15,7.47,1,1,0.05,0,0,0.37,8.05,1.2,5,3.8,5.7,0.56,0.11
"23","Sedimentary","Chert",3,1.061,-3.247,-2.251,0.553,-1.602,4.45,2.6,0.467,7.55,1.85,2.5,4.2,4.55,3.95,0.75,0.25,0.15,0,0.37,0.05,3.1,5,5.05,7,4.6,0.14,0.43
"24","Sedimentary","Conglomerate",8,-0.706,1.221,2.934,-1.35,-4.42,3.039,1.044,2.195,6.05,7.45,8.15,3.15,2.2,5.16,1,0.95,0,0.05,0,0.37,6.9,5.7,5,5.9,4.1,0.07,0.4
"25","Sedimentary","Dolomite",12,2.08,-3.189,-2.097,-2.352,1.581,-0.498,-0.676,0.941,7.85,2.55,3.3,2.25,5.55,1.42,0.7,0.15,0.05,0,0.37,0.05,2.55,5,5,6.55,1.4,0.05,0.13
"26","Sedimentary","Micrite",9,-0.75,-2.367,-2.895,-0.645,-0.648,2.403,-0.467,4.097,5.2,2.45,3.4,2.55,5.3,3,0.8,0.15,0.1,0,0.26,0.11,2.45,4.95,5.2,4.95,4.1,0.08,0.39
"27","Sedimentary","Rock Gypsum",2,3.629,-2.105,-3.471,2.443,-0.693,-0.095,-2.088,-0.02,8.55,2.3,2.85,5.65,5.1,3.05,0.7,0.25,0.35,0.05,0.47,0.11,3.4,4.5,3.75,7.9,0.4,0.02,0.04
"28","Sedimentary","Rock Salt",12,2.524,-2.498,0.537,3.923,-2.091,-1.833,-2.405,-2.388,8.4,2.3,3.7,7.45,4,3.95,0.7,0.25,0.1,0,0.16,0.11,3.6,4.65,4.85,7.4,0.4,0.01,0
"29","Sedimentary","Sandstone",12,0.236,-4.073,1.112,-2.241,2.434,6.51,-0.88,0.3,7.05,3.3,3.6,1.6,6.65,2.84,0.9,0.2,0.65,0.05,0.21,0.05,1.95,5.1,3.4,7.05,5.4,0.27,0.46
"30","Sedimentary","Shale",4,-4.348,-3.563,-2.244,-1.774,0.319,-1.43,-0.592,-0.078,2.55,2.35,2.85,2.3,5.8,1.68,0.75,0.15,0.15,0,0.89,0,2.3,4.65,4.9,3.4,0.5,-0.01,0.04
